999,Date,BTC,ETH,XRP,USDT,BCH,LTC,EOS,BNB,BSV,XTZ,XLM,TRX,ADA,ATOM,LEO,XMR,HT,LINK,NEO,DASH,ETC,MIOTA,CRO,USDC,STO,TAGZ5,MIN,INNBCL,HEX,ACA,COMP,VET,VEST,XEM,DOT,YFI,WBTC,BUSD,DAI,FIL,ALGO,REV,THETA
,2020-07-02,9123.41,229.39,0.1772,1.02,222.30,41.49,2.39,15.54,155.89,2.36,0.06841,0.01669,0.09433,,1.27,65.89,4.14,4.85,,,,,0.1244,1.01,,,,,,0.2044,,,,,,,,,,,,,
,2020-07-03,9087.30,225.39,0.1763,0.9995,221.56,41.21,2.42,15.29,155.24,2.28,0.06725,0.01666,0.09654,,1.24,62.75,4.10,4.74,,,,,0.1248,1.00,,,,,,0.2013,,,,,,,,,,,,,
,2020-07-04,9132.49,229.07,0.178,1.00,225.33,42.07,2.46,15.55,155.16,2.33,0.06787,0.0168,0.09995,,1.24,64.13,4.12,4.80,,,,,0.1281,0.9996,,,,,,0.2014,,,,,,,,,,,,,
,2020-07-05,9073.94,227.66,0.177,0.9989,221.84,41.60,2.41,15.48,153.75,2.28,0.06718,0.01684,0.09821,,1.18,63.22,4.08,4.74,,,,,0.1302,0.9978,,,,,,,,0.01429,,,,,,,,,,,
,2020-07-06,9375.47,241.51,0.1886,1.00,241.63,43.96,2.61,16.30,191.86,2.44,0.07186,0.01802,0.1052,,1.22,64.88,4.25,5.37,,,,,0.1358,0.9992,,,,,,,,0.01445,,,,,,,,,,,
,2020-07-07,9252.28,239.08,0.1848,0.9992,237.15,43.32,2.56,16.77,184.37,2.51,0.07327,0.01719,0.1176,,1.23,64.53,4.12,5.71,,,,,0.1382,1.00,,,,,,,,0.01736,,,,,,,,,,,
,2020-07-08,9428.33,246.67,0.2047,0.9999,243.23,45.20,2.68,17.23,188.98,2.65,0.085,0.01791,0.1299,,1.23,66.25,4.21,6.48,,,,,0.1434,0.9992,,,,,,,,0.02002,,,,,,,,,,,
,2020-07-09,9277.97,243.02,0.2029,1.00,238.86,44.54,2.66,16.88,185.68,2.54,0.09059,0.01845,0.1243,,1.23,67.63,4.18,6.10,,,,,0.1426,1.00,,,,,,,,0.01831,,,,,,,,,,,
,2020-07-10,9278.81,240.98,0.1987,1,237.92,44.25,2.62,17.26,182.67,2.54,0.08891,0.01814,0.1183,,1.22,67.31,4.20,6.14,,,,,0.1432,0.9999,,,,,,,,0.01714,,,,,,,,,,,
,2020-07-11,9240.35,239.46,0.2012,1.00,236.66,44.68,2.62,17.62,182.84,2.69,0.09433,0.01837,0.1252,,1.20,68.74,4.19,6.12,,,,,0.1449,1.00,,,,,,,,0.01855,,,,,,,,,,,
,2020-07-12,9276.50,242.13,0.2005,0.9986,236.77,44.64,2.61,18.24,185.91,2.81,0.095,0.01815,0.1268,,1.12,69.13,4.22,7.31,,,,,0.1445,0.9982,,,,,,,,0.01811,,,,,,,,,,,
,2020-07-13,9243.61,239.60,0.1986,0.9996,232.43,43.92,2.55,18.41,182.11,2.90,0.09029,0.01755,0.1242,,1.12,69.28,4.23,7.18,,,,,0.1425,1.00,,,,,,,,0.01848,,,,,,,,,,,
,2020-07-14,9243.21,240.21,0.1988,0.999,230.01,43.80,2.56,18.08,181.61,2.96,0.09211,0.01764,0.132,,1.13,67.92,4.23,8.10,,,,,0.1405,0.9988,,,,,,,,0.01841,,,,,,,,,,,
,2020-07-15,9192.84,238.42,0.1971,0.9994,227.27,43.28,2.53,17.59,179.67,3.20,0.09404,0.01756,0.1304,,1.15,70.60,4.23,8.64,,,,,0.143,0.9995,,,,,,,,0.01898,,,,,,,,,,,
,2020-07-16,9132.23,233.64,0.194,1,224.02,42.04,2.50,17.14,173.10,3.09,0.1007,0.01714,0.1259,,1.17,67.65,4.19,8.34,,,,,0.1418,0.9999,,,,,,,,0.01802,,,,,,,,,,,
,2020-07-17,9151.39,232.77,0.1943,0.9996,222.81,41.91,2.50,17.08,172.05,3.17,0.1039,0.01718,0.1225,,1.19,67.61,,8.28,,,,,0.1422,0.9992,,,,,,,,0.01823,0.1532,,,,,,,,,,
,2020-07-18,9159.04,235.48,0.1993,0.9988,224.25,42.43,2.50,17.13,172.78,3.01,0.1007,0.0174,0.1225,,1.17,68.26,,7.96,,,,,0.1449,0.9976,,,,,,,,0.01815,0.1824,,,,,,,,,,
,2020-07-19,9185.82,238.49,0.1991,0.9984,227.10,42.55,2.58,17.96,172.00,2.98,0.09988,0.01748,0.1237,,1.15,68.77,,8.07,,,,,0.1446,0.9971,,,,,0.0039,,,0.01799,,,,,,,,,,,
,2020-07-20,9164.23,236.15,0.1951,1.00,222.75,41.98,2.56,17.48,169.36,2.77,0.09468,0.01722,0.1179,,1.17,69.31,4.23,7.27,,,,,0.1418,0.9988,,,,,0.003593,,,,,,,,,,,,,,
,2020-07-21,9374.89,245.02,0.199,0.9989,229.56,43.62,2.62,17.72,177.38,3.02,0.09622,0.01756,0.123,,1.18,69.59,,7.28,,,,,0.1437,0.9975,,,,,0.003716,,,0.01749,,,,,,,,,,,
,2020-07-22,9525.36,262.19,0.2033,1.00,238.70,44.94,2.66,18.09,181.71,3.08,0.09722,0.01795,0.1239,,1.18,71.46,,7.47,,,,,0.1466,1.00,,,,,0.004295,,,0.01749,,,,,,,,,,,
,2020-07-23,9581.07,274.69,0.2076,0.9982,237.55,44.85,2.65,18.67,184.26,3.17,0.09776,0.01786,0.1238,,1.18,72.86,,7.87,,,,,0.1463,0.9977,,,,,0.004387,,,0.01735,,,,,,,,,,,
,2020-07-24,9536.89,279.22,0.204,0.999,235.52,44.18,2.59,19.15,181.62,3.03,0.09556,0.01796,0.1219,,1.19,71.58,,7.43,,,,,0.1465,0.9981,,,,,0.004376,,,0.01698,,,,,,,,,,,
,2020-07-25,9677.11,304.06,0.2141,0.9981,249.51,48.80,2.73,19.78,190.27,3.06,0.1002,0.01868,0.1436,,1.21,73.46,,7.66,,,,,0.1502,0.9978,,,,,0.004601,,,0.01815,,,,,,,,,,,
,2020-07-26,9905.17,309.64,0.215,0.9989,246.82,47.98,2.71,19.52,190.04,2.98,0.09873,0.01852,0.1481,,1.21,77.94,,7.50,,,,,0.1533,0.9974,,,,,0.004392,,,0.01755,,,,,,,,,,,
,2020-07-27,10990.87,321.51,0.2237,1.00,267.43,52.95,2.84,19.62,207.33,2.82,0.09454,0.01867,0.1388,,1.25,78.49,4.47,7.10,,,,,0.1649,0.9985,,,,,0.00626,,,,,,,,,,,,,,
,2020-07-28,10912.82,316.66,0.2303,1.00,288.55,55.58,2.99,20.17,214.15,2.83,0.097,0.01912,0.1486,,1.25,81.31,4.43,7.22,,,,,0.1594,0.9986,,,,,0.0057,,,,,,,,,,,,,,
,2020-07-29,11100.47,318.19,0.2431,1.00,288.37,55.17,3.03,19.90,213.40,2.79,0.09529,0.01933,0.1399,,1.25,79.15,4.43,7.12,,,,,0.1635,1.00,,,,,0.005847,,,,,,,,,,,,,,
,2020-07-30,11111.21,334.59,0.2445,1.00,292.19,56.64,3.05,20.01,215.36,2.81,0.09664,0.01928,0.1406,,1.25,81.09,,7.42,,,,,0.1623,0.9998,,,,,0.005887,,,0.01734,,,,,,,,,,,
,2020-07-31,11323.47,345.55,0.2589,1.00,300.50,58.00,3.09,20.67,229.84,2.84,0.09693,0.01968,0.1388,,1.26,84.46,,7.77,,,,,0.1645,1.01,,,,,0.004432,,,0.01726,,,,,,,,,,,
,2020-08-01,11759.59,385.20,0.2895,0.997,318.00,61.29,3.29,21.53,243.35,3.03,0.107,0.0204,0.1436,,1.26,89.26,4.75,8.30,,,,,0.1734,0.9964,,,,,0.005008,,,,,,,,,,,,,,
,2020-08-02,11053.61,370.67,0.2871,0.9979,283.78,56.64,2.94,20.94,217.82,2.88,0.1026,0.01904,0.1335,,1.27,84.97,4.48,8.27,,,,,0.1637,0.9974,,,,,0.00424,,,,,,,,,,,,,,
,2020-08-03,11246.35,386.30,0.3099,1.00,296.54,58.47,3.05,22.06,228.12,3.06,0.1051,0.01989,0.1373,,1.27,89.11,4.77,9.16,,,,,0.1631,1.00,,,,,0.004308,,,,,,,,,,,,,,
,2020-08-04,11205.89,389.88,0.3005,1.00,288.39,57.53,3.03,22.28,224.67,3.23,0.11,0.02035,0.143,,1.27,87.26,4.85,9.82,,,,,0.1566,1.00,,,,,0.004038,,,,,,,,,,,,,,
,2020-08-05,11747.02,401.59,0.3033,1.00,294.49,59.01,3.06,23.34,234.17,3.12,0.1079,0.02045,0.1427,,1.27,90.48,4.93,9.56,,,,,0.1637,1.00,,,,,0.004058,,,,,,,,,,,,,,
,2020-08-06,11779.77,394.96,0.3036,1.00,308.76,59.16,3.09,22.71,236.60,3.22,0.1064,0.02028,0.144,,1.27,95.61,,10.14,,,,,0.1624,1.00,,,,,0.004198,,,0.01974,,,,,,,,,,,
,2020-08-07,11601.47,379.51,0.2947,1.00,303.46,57.25,3.02,22.31,228.98,3.07,0.1031,0.01994,0.1392,,1.28,94.10,,10.06,,,,,0.1621,1.00,,,,,0.003886,,,0.01871,,,,,,,,,,,
,2020-08-08,11754.05,393.99,0.294,1.00,304.48,58.13,3.05,22.88,232.75,3.38,0.103,0.02042,0.1458,,1.28,94.88,,12.69,,,,,0.1673,0.9994,,,,,0.00392,,,0.02075,,,,,,,,,,,
,2020-08-09,11675.74,391.12,0.2887,1.00,300.40,57.14,3.03,22.48,224.05,3.68,0.1051,0.02047,0.1452,,1.27,93.06,,13.85,,,,,0.1673,1.00,,,,,0.003729,,,0.02186,,,,,,,,,,,
,2020-08-10,11878.11,395.89,0.2947,1.00,302.59,58.29,3.24,22.61,226.00,4.27,0.106,0.02152,0.1439,5.47,1.26,93.76,,13.44,,,,,0.1687,1.00,,,,,,,,0.02147,,,,,,,,,,,
,2020-08-11,11410.53,380.38,0.2844,1.00,282.95,54.39,3.02,21.26,210.76,4.01,0.1009,0.02016,0.1374,,1.27,87.46,,13.11,,,,0.3688,0.1613,1.00,,,,,,,,0.01998,,,,,,,,,,,
,2020-08-12,11584.93,391.02,0.2849,1.01,287.61,54.97,3.06,21.75,209.29,4.41,0.1022,0.02039,0.1374,5.98,1.28,90.29,,16.62,,,,,0.1627,1.00,,,,,,,,0.02058,,,,,,,,,,,
,2020-08-13,11784.14,428.74,0.2978,1.02,299.52,57.74,3.18,22.08,216.06,4.18,0.1021,0.02261,0.1412,6.15,1.29,92.79,,17.33,,,,,0.164,1.01,,,,,,,,0.01976,,,,,,,,,,,
,2020-08-14,11768.87,437.40,0.3004,1.00,293.40,56.75,3.25,23.07,212.03,4.10,0.105,0.02475,0.1383,6.09,1.26,91.44,,16.93,,,,,0.1648,0.9996,,,,,,,,0.02048,,,,,,,,,,,
,2020-08-15,11865.70,433.35,0.2997,1.00,303.00,59.93,3.73,23.02,224.04,4.08,0.1068,0.0252,0.1383,6.09,1.28,90.05,,19.10,,,,0.4205,0.1664,0.999,,,,,,,,,,,,,,,,,,,
,2020-08-16,11892.80,433.79,0.3035,1.00,307.87,63.83,3.88,23.50,222.83,4.24,0.1146,0.02821,0.1385,6.22,1.29,91.22,,18.80,,,,0.4243,0.1685,0.9993,,,,,,,,,,,,,,,,,,,
,2020-08-17,12254.40,429.53,0.3148,1.00,317.30,67.03,3.77,23.51,224.25,4.03,0.1137,0.03039,0.1409,5.94,1.27,93.36,,16.71,16.53,,,,0.1698,0.998,,,,,,,,,,,,,,,,,,,
,2020-08-18,11991.23,423.67,0.3033,1.00,304.17,65.53,3.59,23.07,217.30,3.83,0.1088,0.0288,0.1374,5.84,1.27,93.52,,16.24,16.23,,,,0.1666,1.00,,,,,,,,,,,,,,,,,,,
,2020-08-19,11758.28,406.46,0.2902,1.00,292.70,62.00,3.35,22.31,206.52,3.63,0.1025,0.02654,0.1293,5.67,1.27,91.28,,16.24,15.88,,,,0.1625,1.00,,,,,,,,,,,,,,,,,,,
,2020-08-20,11878.37,416.44,0.2926,1.00,294.79,62.97,3.44,23.09,208.95,3.85,0.1072,0.02754,0.1336,6.30,1.27,101.31,,16.09,17.80,,,,0.1637,0.9997,,,,,,,,,,,,,,,,,,,
,2020-08-21,11592.49,389.13,0.2807,1.00,284.30,59.38,3.27,22.13,197.47,3.39,0.1004,0.02434,0.1238,5.63,1.27,92.57,,13.80,16.64,,,,0.1688,1.00,,,,,,,,,,,,,,,,,,,
,2020-08-22,11681.83,395.84,0.2865,1.00,287.36,60.31,3.37,22.24,196.66,3.58,0.1025,0.02516,0.1253,6.44,1.26,94.74,,15.96,18.94,,,,0.1683,0.9999,,,,,,,,,,,,,,,,,,,
,2020-08-23,11664.85,391.38,0.2854,1.00,284.96,60.62,3.33,21.87,194.86,3.52,0.1031,0.02447,0.1216,8.52,1.27,91.31,,15.17,18.20,,,,0.1713,0.9995,,,,,,,,,,,,,,,,,,,
,2020-08-24,11774.60,408.14,0.2892,1.00,291.33,62.20,3.39,22.61,203.83,3.69,0.1035,0.02516,0.1245,8.15,1.26,93.94,,15.18,18.15,,,,0.1741,1.00,,,,,,,,,,,,,,,,,,,
,2020-08-25,11366.14,384.00,0.2779,1.00,276.80,58.58,3.14,21.48,192.08,3.45,0.09811,0.02313,0.1133,8.43,1.26,88.83,,14.22,17.11,,,,0.1692,1.00,,,,,,,,,,,,,,,,,,,
,2020-08-26,11488.36,386.47,0.2775,1.00,275.57,58.36,3.13,22.28,191.42,3.38,0.09842,0.02375,0.1153,7.74,1.26,89.12,,15.25,17.40,,,,0.17,1.00,,,,,,,,,,,,,,,,,,,
,2020-08-27,11323.40,382.63,0.2645,1.00,264.58,56.04,2.98,23.08,185.95,3.21,0.09392,0.0231,0.1068,7.29,1.26,89.54,,14.50,17.66,,,,0.1678,1.00,,,,,,,,,,,,,,,,,,,
,2020-08-28,11542.50,395.87,0.272,1.00,268.91,57.35,3.12,23.13,191.78,3.26,0.09582,0.02398,0.1095,7.58,1.27,94.36,,15.16,18.35,,,,0.1731,1.00,,,,,,,,,,,,,,,,,,,
,2020-08-29,11506.87,399.92,0.2745,1.00,268.95,57.29,3.14,23.01,190.44,3.36,0.09674,0.02504,0.1167,7.31,,92.82,,16.57,21.29,,,,0.1739,1.00,,,,,,,,,,0.1452,,,,,,,,,
,2020-08-30,11711.51,428.40,0.283,1.00,279.07,62.73,3.27,23.64,196.50,3.38,0.09825,0.02695,0.1174,7.64,1.27,96.15,,16.47,20.70,,,,0.1783,1.00,,,,,,,,,,,,,,,,,,,
,2020-08-31,11680.82,435.08,0.2818,1.00,274.54,61.11,3.23,23.19,192.85,3.26,0.09731,0.0293,0.1227,7.21,,93.35,,15.71,20.50,,,,0.1785,1.00,,,,,,,,,,0.1417,,,,,,,,,
,2020-09-01,11970.48,477.05,0.2957,1.00,292.72,62.88,3.48,24.82,203.67,3.44,0.09938,0.03455,0.1254,7.25,,97.14,,16.12,21.46,,,,0.1798,1.00,,,,,,,,,,0.1571,,,,,,,,,
,2020-09-02,11414.03,440.04,0.2765,1.00,264.12,58.10,3.10,24.69,183.57,3.13,0.09265,0.03445,0.1156,,,91.08,,14.90,20.36,,,,0.1741,1.00,,,,,,,,,,0.1605,6.14,,,,,,,,
,2020-09-03,10245.30,385.67,0.2466,1.01,216.06,47.77,2.64,20.62,152.35,2.58,0.07945,0.04119,0.09615,,,77.98,,12.02,17.94,,,,0.1542,1.00,,,,,,,,,,0.1424,5.75,,,,,,,,
,2020-09-04,10511.81,388.24,0.2559,1.00,231.87,50.61,3.01,21.06,160.56,2.76,0.08145,0.03562,0.1024,,,82.35,,12.49,19.07,,,,0.1565,1.00,,,,,,,,,,0.138,5.15,,,,,,,,
,2020-09-05,10169.57,335.26,0.2377,1.00,225.30,47.59,2.93,19.48,162.10,2.48,0.07551,0.03,0.08992,,1.20,77.71,,10.61,16.92,,,,0.1497,1.00,,,,,,,,,,,4.12,,,,,,,,
,2020-09-06,10280.35,353.36,0.2407,1.00,228.45,48.05,2.91,23.19,163.50,2.57,0.07786,0.03152,0.09306,,1.22,80.33,,12.91,,,,,0.1508,1.00,,,,,,,,,,0.1351,4.80,,,,,,,,
,2020-09-07,10369.56,352.67,0.2422,1.00,228.61,48.77,2.85,22.39,174.15,2.56,0.07869,0.03228,0.09333,,,82.53,,12.43,18.17,,,,0.15,1.00,,,,,,,,,,0.1354,4.59,,,,,,,,
,2020-09-08,10131.52,337.60,0.2368,1.00,222.54,47.38,2.76,23.19,170.57,2.51,0.07754,0.035,0.09101,,1.22,83.90,,11.79,17.06,,,,0.1483,1.00,,,,,,,,,,,4.27,,,,,,,,
,2020-09-09,10242.35,351.11,0.2396,1.00,224.68,47.90,2.76,24.53,169.58,2.55,0.07863,0.03402,0.09335,,1.21,84.38,,12.38,17.31,,,,0.1508,1.00,,,,,,,,,,,4.71,,,,,,,,
,2020-09-10,10363.14,368.10,0.2435,1.00,227.71,48.72,2.78,24.56,166.70,2.58,0.08132,0.03308,0.09716,,1.18,83.46,,12.55,18.45,,,,0.1509,1.00,,,,,,,,,,,4.58,,,,,,,,
,2020-09-11,10400.91,374.70,0.2433,1.00,225.54,49.09,2.79,25.45,167.56,2.57,0.08381,0.03351,0.09699,,1.21,88.39,,12.50,20.39,,,,0.1595,1.00,,,,,,,,,,,4.65,,,,,,,,
,2020-09-12,10442.17,387.18,0.2478,1.00,230.29,50.82,2.81,28.53,168.82,2.61,0.08411,0.03275,0.0976,,,86.51,,12.77,21.69,,,,0.1634,1.00,,,,,,,,,,,5.14,43282.04,,,,,,,
,2020-09-13,10323.76,365.57,0.2418,0.9992,221.83,48.07,2.72,31.06,162.76,2.62,0.08006,0.03058,0.09486,,1.23,89.50,,11.99,20.29,,,,0.16,1.00,,,,,,,,,,,5.30,,,,,,,,
,2020-09-14,10680.84,377.27,0.2463,1.00,226.26,49.09,2.74,31.18,164.37,2.63,0.08045,0.03045,0.09677,,,92.65,,12.12,22.03,,,,0.168,1.00,,,,,,,,,,,5.35,39943.71,,,,,,,
,2020-09-15,10796.95,364.84,0.2438,1.00,235.63,48.39,2.71,27.20,165.81,2.52,0.07826,0.0279,0.0935,,1.14,91.12,,10.98,20.23,,,,0.1696,1,,,,,,,,,,,5.10,,,,,,,,
,2020-09-16,10974.90,365.81,0.2478,1.00,231.77,47.93,2.72,27.96,163.25,2.49,0.0802,0.02649,0.09165,,1.16,86.61,,10.76,21.04,,,,0.1689,0.998,,,,,,,,,,,5.08,,,,,,,,
,2020-09-17,10948.99,389.02,0.2522,1.00,233.17,48.88,2.73,26.99,164.25,2.49,0.08042,0.0281,0.09422,,1.19,92.43,,10.99,23.75,,,,0.1667,1.00,,,,,,,,,,,5.34,,,,,,,,
,2020-09-18,10944.59,384.36,0.2507,0.9995,234.21,48.46,2.70,27.40,162.53,2.41,0.07846,0.02909,0.09108,,1.21,92.30,,10.08,25.29,,,,0.1663,0.9996,,,,,,,,,,,5.25,,,,,,,,
,2020-09-19,11094.35,385.54,0.2517,1.00,233.63,48.68,2.71,27.25,162.29,2.34,0.07898,0.02778,0.09166,,,95.74,,10.15,24.62,,,,0.1678,1.00,,,,,0.003664,,,,,,4.93,,,,,,,,
,2020-09-20,10938.27,371.05,0.2467,1.00,226.42,47.10,2.67,26.39,154.47,2.22,0.07741,0.02696,0.08943,,,93.36,,9.77,23.66,,,,0.1596,1.00,,,,,0.003755,,,,,,4.67,,,,,,,,
,2020-09-21,10462.26,341.79,0.2321,1.00,213.52,43.39,2.51,23.27,146.25,1.99,0.0707,0.025,0.08043,,,88.95,,8.76,20.19,,,,0.1523,1.00,,,,,0.004033,,,,,,4.09,,,,,,,,
,2020-09-22,10538.46,344.50,0.2334,1.00,220.03,44.55,2.57,24.10,155.78,2.12,0.07199,0.02504,0.08175,,,92.95,,8.76,20.20,,,,0.1526,1.00,,,,,0.00379,,,,,,4.17,,,,,,,,
,2020-09-23,10246.19,321.12,0.2212,1.00,207.92,43.06,2.45,22.86,150.36,1.96,0.06757,0.02486,0.07676,,1.23,87.47,,7.70,19.67,,,,0.1477,1.00,,,,,,,,,,,4.03,,,,,,,,
,2020-09-24,10760.07,349.36,0.2329,1.00,216.39,45.04,2.54,24.61,156.72,2.19,0.07037,0.02619,0.08282,,1.24,91.79,,9.82,21.84,,,,0.1547,1.00,,,,,,,,,,,4.38,,,,,,,,
,2020-09-25,10692.72,352.18,0.2419,1.00,216.64,46.09,2.55,24.66,155.50,2.24,0.07446,0.02715,0.09685,,1.24,92.75,,10.71,21.40,,,,0.154,1.00,,,,,,,,,,,4.42,,,,,,,,
,2020-09-26,10750.72,355.49,0.2422,1.00,222.05,46.19,2.58,26.22,164.75,2.22,0.07396,0.02725,0.09556,,1.24,94.65,,10.34,21.18,,,,0.1544,1.00,,,,,,,,,,,4.35,,,,,,,,
,2020-09-27,10775.27,357.44,0.2428,1.00,228.81,46.09,2.59,26.20,170.55,2.23,0.07334,0.02659,0.1013,,1.25,97.18,,10.77,21.14,,,,0.1546,1.00,,,,,,,,,,,4.31,,,,,,,,
,2020-09-28,10709.65,355.16,0.2419,1.00,226.15,45.36,2.57,26.98,168.41,2.29,0.07354,0.02631,0.1007,,1.25,95.13,,10.33,20.12,,,,0.1528,1.00,,,,,,,,,,,4.40,,,,,,,,
,2020-09-29,10844.64,359.76,0.2432,1.00,228.98,45.80,2.60,28.84,171.95,2.27,0.07414,0.0263,0.1012,,1.26,100.35,,10.12,19.77,,,,0.1538,1.00,,,,,,,,,,,4.50,,,,,,,,
,2020-09-30,10784.49,359.94,0.2418,1.00,228.01,46.37,2.59,29.29,171.85,2.24,0.07482,0.02606,0.1011,,1.28,108.15,,9.85,19.08,,,,0.152,1.00,,,,,,,,,,,4.35,,,,,,,,
,2020-10-01,10619.45,353.21,0.2382,1.00,227.42,46.31,2.55,27.43,169.57,2.23,0.07317,0.0256,0.09787,,1.27,102.66,,9.65,18.79,,,,0.1495,1.00,,,,,,,,,,,4.34,,,,,,,,
